"","REPLICATEID","X","SITE","SITEVISITID","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4","nb_sp","nb_fe","fred","fored","fvuln","TotFish","DIVER","LATITUDE","LONGITUDE","DEPTH","Revised_DEPTH_BIN","OBS_YEAR","SlopeMEAN_400m","Slope_cat","HARD_CORAL","SlopeMEAN_400m_c","DEPTH_c","HARD_CORAL_c","SECTOR","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","NA","Cor","H","MI","Om","Par","Pisc","Pk","SI","TotFish1"
"26","1845952435",23,"JAR-00109","2484",0.722213008,0.758180009,0.889741982,0.353032,0.316411344,0.931346129,0.394974415,0.652868875,-0.199794967,-0.069363938,0.077240235,0.029052113,32,29,1.103448276,0.084051724,0.896551724,194.7642892,"KSM",-0.36926,-160.00839,15,"Mid","2010",35.91055502,"High",47.5,1.30549482579797,0.627574975558846,2.83891091022211,"WEST",144.257771834,22.487300415,20.912551214,7.10666571,0,1.254532911,20.912551214,3.732327671,1.837816466,0,144.257771834,22.487300415,0.281988662,194.7642892
"27","1845952436",58,"JAR-00119","2483",0.508768569,0.522246412,0.637509277,0.474603,0.215337985,0.756760786,0.341156623,0.446824316,0.099048991,-0.009773816,-0.027738385,0.012750809,39,33,1.181818182,0.125874126,0.818181818,70.12445842,"BJZ",-0.36564,-160.0062,5,"Shallow","2010",35.21650984,"High",32.5,1.25028642736094,-0.959044670234155,1.62734382367604,"WEST",16.746702079,10.011558043,24.024419658,19.341778641,0,1.615943148,24.024419658,17.725835493,0,0,16.746702079,10.011558043,0,70.12445842
"28","1845952437",29,"JAR-00111","2482",0.561378267,0.581906925,0.683320472,0.528583,0.332476599,0.806639376,0.380766165,0.475166054,0.008448872,-0.037064529,-0.071620673,0.027363589,46,39,1.179487179,0.128762542,0.846153846,121.0434358,"BJZ",-0.36324,-160.0048,12.5,"Mid","2010",30.79535879,"High",40,0.898602306856474,0.230920064110596,2.23312736694908,"WEST",34.945832654,13.227482516,41.839966411,31.030154226,0,0.951894617,41.839966411,24.831016074,0,0,34.945832654,13.227482516,5.247243535,121.0434358
"29","1845952438",24,"JAR-00109","2484",0.713766103,0.751828171,0.737131448,0.551835,0.408036369,0.9336577,0.441862407,0.652928558,-0.216638836,-0.057830902,0.030424691,-0.000112435,46,42,1.095238095,0.080745342,0.928571429,189.4298931,"BJZ",-0.36926,-160.00839,15,"Mid","2010",35.91055502,"High",47.5,1.30549482579797,0.627574975558846,2.83891091022211,"WEST",115.895374336,28.93242677,18.197752064,26.404339958,0,4.340111058,18.197752064,19.349209806,0,0,115.895374336,28.93242677,2.715019094,189.4298931
"30","1845952439",16,"JAR-00106","2487",0.596894788,0.855467281,0.638823402,0.520717,0.35888641,0.97510031,0.425572736,0.802888633,-0.392588223,-0.06197334,-0.002224314,-0.073898866,38,35,1.085714286,0.072180451,0.914285714,603.8846351,"PMA",-0.37661,-159.9719,19,"Mid","2010",11.66379607,"Low",17.5,-0.623233688559086,1.26222283387605,0.415776737129967,"EAST",470.540583397,86.257808052,21.22246796,25.863775658,0,0.542992381,21.22246796,20.411149852,1.639847345,0,470.540583397,86.257808052,3.26978608,603.8846351
"31","1845952440",17,"JAR-00106","2487",0.471322978,0.92796495,0.604858525,0.36858,0.42084967,0.982084358,0.525381479,0.900324871,-0.468683337,-0.139417919,0.00955659,-0.107334354,47,43,1.093023256,0.07718951,0.906976744,1467.367017,"BJZ",-0.37661,-159.9719,19,"Mid","2010",11.66379607,"Low",17.5,-0.623233688559086,1.26222283387605,0.415776737129967,"EAST",1275.513662007,138.701074397,19.124679077,34.027602012,0,0,19.124679077,31.880415378,0,0,1275.513662007,138.701074397,2.147186634,1467.367017
"32","1845952441",32,"JAR-00113","2486",0.712307423,0.631457892,0.695951894,0.628141,0.292538799,0.870362213,0.358146901,0.554830921,-0.077049061,-0.012747247,-0.001323031,0.053266672,41,39,1.051282051,0.046278924,0.948717949,215.1982098,"PMA",-0.38041,-159.9736,9,"Shallow","2010",7.716071807,"Low",7.5,-0.937258683345752,-0.324396811916955,-0.391934653900747,"EAST",87.086937059,14.391002768,92.061331073,21.658938883,0,2.354159523,92.061331073,16.741187905,1.268240999,0,87.086937059,14.391002768,1.295350456,215.1982098
"33","1845952442",44,"JAR-00116","2494",0.729322462,0.695726064,0.722338192,0.606846,0.33628918,0.931722281,0.367009392,0.613141044,-0.115839946,0.120562378,0.03817569,0.048642872,35,32,1.09375,0.077678571,0.90625,168.2861663,"KSM",-0.37688,-159.975,11,"Mid","2010",1.641110259,"Low",15,-1.42049652908885,-0.0070728827583544,0.213848889372289,"EAST",36.081743847,54.466397468,39.0683405,38.669684459,0,0.742809931,39.0683405,32.976449985,0,0,36.081743847,54.466397468,4.950424543,168.2861663
"34","1845952443",33,"JAR-00113","2486",0.712307423,0.631457892,0.695951894,0.628141,0.292538799,0.870362213,0.358146901,0.554830921,-0.077049061,-0.012747247,-0.001323031,0.053266672,41,39,1.051282051,0.046278924,0.948717949,215.1982098,"PMA",-0.38041,-159.9736,9,"Shallow","2010",7.716071807,"Low",7.5,-0.937258683345752,-0.324396811916955,-0.391934653900747,"EAST",87.086937059,14.391002768,92.061331073,21.658938883,0,2.354159523,92.061331073,16.741187905,1.268240999,0,87.086937059,14.391002768,1.295350456,215.1982098
"35","1845952444",34,"JAR-00113","2486",0.637578059,0.586031728,0.650293419,0.616699,0.333622188,0.821957688,0.327261149,0.503765374,0.00017662,0.003139674,0.01932563,0.073843538,46,40,1.15,0.110869565,0.85,172.9409807,"BJZ",-0.38041,-159.9736,9,"Shallow","2010",7.716071807,"Low",7.5,-0.937258683345752,-0.324396811916955,-0.391934653900747,"EAST",59.10846604,15.134958266,64.925573694,33.771982655,0,2.946240257,64.925573694,24.484776383,0,0,59.10846604,15.134958266,6.340966015,172.9409807
"36","1845952445",45,"JAR-00116","2494",0.729322462,0.695726064,0.722338192,0.606846,0.33628918,0.931722281,0.367009392,0.613141044,-0.115839946,0.120562378,0.03817569,0.048642872,35,32,1.09375,0.077678571,0.90625,168.2861663,"KSM",-0.37688,-159.975,11,"Mid","2010",1.641110259,"Low",15,-1.42049652908885,-0.0070728827583544,0.213848889372289,"EAST",36.081743847,54.466397468,39.0683405,38.669684459,0,0.742809931,39.0683405,32.976449985,0,0,36.081743847,54.466397468,4.950424543,168.2861663
"37","1845952446",13,"JAR-00104","2493",0.811972011,0.894562539,1.120457257,0.555383,0.451530406,0.970092771,0.426791556,0.799987637,-0.301937824,0.07496758,1.84e-05,-0.081643491,42,37,1.135135135,0.109395109,0.918918919,373.241838,"KSM",-0.38256,-159.98035,23,"Deep","2010",22.27156521,"Mid",25,0.220570089761348,1.89687069219325,1.021560280403,"EAST",180.207267726,164.961976807,17.489975148,10.582618322,0,0.184105168,17.489975148,7.015349095,0,0,180.207267726,164.961976807,3.383164059,373.241838
"38","1845952447",35,"JAR-00113","2486",0.637578059,0.586031728,0.650293419,0.616699,0.333622188,0.821957688,0.327261149,0.503765374,0.00017662,0.003139674,0.01932563,0.073843538,46,40,1.15,0.110869565,0.85,172.9409807,"BJZ",-0.38041,-159.9736,9,"Shallow","2010",7.716071807,"Low",7.5,-0.937258683345752,-0.324396811916955,-0.391934653900747,"EAST",59.10846604,15.134958266,64.925573694,33.771982655,0,2.946240257,64.925573694,24.484776383,0,0,59.10846604,15.134958266,6.340966015,172.9409807
"39","1845952448",83,"JAR-00127","2489",0.71212288,0.852989163,2.078612053,0.558084,0.214573125,0.936166937,0.667840588,0.724565688,-0.287662931,-0.068106083,-0.020009801,-0.04090926,28,22,1.272727273,0.185064935,0.863636364,204.5068013,"PMA",-0.38138,-160.0015,5.5,"Shallow","2010",28.41558596,"High",15,0.709301306901048,-0.879713687944505,0.213848889372289,"SOUTH",156.673174499,1.225476085,36.900896062,9.707254636,0,3.270005928,36.900896062,6.437248708,0,0,156.673174499,1.225476085,0,204.5068013
"40","1845952449",81,"JAR-00127","2489",0.71212288,0.852989163,2.078612053,0.558084,0.214573125,0.936166937,0.667840588,0.724565688,-0.287662931,-0.068106083,-0.020009801,-0.04090926,28,22,1.272727273,0.185064935,0.863636364,204.5068013,"PMA",-0.38138,-160.0015,5.5,"Shallow","2010",28.41558596,"High",15,0.709301306901048,-0.879713687944505,0.213848889372289,"SOUTH",156.673174499,1.225476085,36.900896062,9.707254636,0,3.270005928,36.900896062,6.437248708,0,0,156.673174499,1.225476085,0,204.5068013
"41","1845952450",14,"JAR-00104","2493",0.7672157,0.862055735,0.617610006,0.550335,0.413479217,0.964868033,0.472942873,0.783132302,-0.321482649,-0.056196681,0.041856067,-0.032867238,44,40,1.1,0.084090909,0.925,389.6498856,"KCL",-0.38256,-159.98035,23,"Deep","2010",22.27156521,"Mid",25,0.220570089761348,1.89687069219325,1.021560280403,"EAST",267.265488123,70.976000025,29.839798972,21.568598491,0,2.168960014,29.839798972,14.495121075,1.286168174,0,267.265488123,70.976000025,3.618349228,389.6498856
"42","1845952451",31,"JAR-00112","2492",0.603301415,0.586184342,0.409856138,0.566192,0.31950133,0.82114735,0.279977239,0.492107587,0.051202086,0.014755923,0.036143991,0.053919423,45,41,1.097560976,0.082384824,0.926829268,142.218475,"KSM",-0.38199,-159.9968,13,"Mid","2010",31.02633291,"High",22.5,0.916975334453325,0.310251046400246,0.819632432645325,"SOUTH",34.793080042,31.040435775,55.829464833,20.555494313,0,0.868921947,55.829464833,17.813686347,0.064739704,0,34.793080042,31.040435775,1.808146315,142.218475
"43","1845952452",84,"JAR-00127","2489",0.577410587,0.53323515,0.761004056,0.440971,0.103136041,0.7800918,0.333224368,0.488501447,0.025085771,0.058044433,-0.010458017,0.093490665,39,30,1.3,0.2,0.866666667,96.83608842,"BJZ",-0.38138,-160.0015,5.5,"Shallow","2010",28.41558596,"High",15,0.709301306901048,-0.879713687944505,0.213848889372289,"SOUTH",22.668664375,2.252691797,59.768161283,12.146570969,0,2.0631318,59.768161283,9.417212107,0,0,22.668664375,2.252691797,0.666227062,96.83608842
"44","1845952453",77,"JAR-00126","2488",0.733337843,0.906392118,1.293963121,0.582306,0.268293865,0.955337047,0.501674417,0.810054093,-0.347912808,-0.118811099,0.030522687,-0.043587418,37,32,1.15625,0.11402027,0.84375,370.957681,"PMA",-0.38155,-160.0066,6,"Shallow","2010",30.08706738,"High",21.25,0.842260680259771,-0.800382705654855,0.718668508766485,"SOUTH",277.368089661,3.161516319,75.816992862,14.611082133,0,3.494412693,75.816992862,10.68386993,0.064739704,0,277.368089661,3.161516319,0.368059806,370.957681
"45","1845952454",30,"JAR-00112","2492",0.603301415,0.586184342,0.409856138,0.566192,0.31950133,0.82114735,0.279977239,0.492107587,0.051202086,0.014755923,0.036143991,0.053919423,45,41,1.097560976,0.082384824,0.926829268,142.218475,"KSM",-0.38199,-159.9968,13,"Mid","2010",31.02633291,"High",22.5,0.916975334453325,0.310251046400246,0.819632432645325,"SOUTH",34.793080042,31.040435775,55.829464833,20.555494313,0,0.868921947,55.829464833,17.813686347,0.064739704,0,34.793080042,31.040435775,1.808146315,142.218475
"46","1845952455",82,"JAR-00127","2489",0.577410587,0.53323515,0.761004056,0.440971,0.103136041,0.7800918,0.333224368,0.488501447,0.025085771,0.058044433,-0.010458017,0.093490665,39,30,1.3,0.2,0.866666667,96.83608842,"BJZ",-0.38138,-160.0015,5.5,"Shallow","2010",28.41558596,"High",15,0.709301306901048,-0.879713687944505,0.213848889372289,"SOUTH",22.668664375,2.252691797,59.768161283,12.146570969,0,2.0631318,59.768161283,9.417212107,0,0,22.668664375,2.252691797,0.666227062,96.83608842
"47","1845952456",15,"JAR-00105","2491",0.766873356,0.890784028,1.191076778,0.317705,0.276156405,0.950900399,0.469551374,0.811961857,-0.338995378,-0.06300335,-0.006128314,-0.098693334,35,32,1.09375,0.080357143,0.9375,179.4269812,"KSM",-0.38238,-159.9907,23,"Deep","2010",31.44619379,"High",30,0.950373515752069,1.89687069219325,1.42541597591836,"SOUTH",112.269371147,37.349429507,21.303123151,8.505057417,0,0.585758414,21.303123151,6.118811447,0,0,112.269371147,37.349429507,1.800487556,179.4269812
"48","1845952457",80,"JAR-00126","2488",0.712993499,0.897526717,1.325065082,0.465524,0.324616663,0.958003354,0.496023763,0.80584581,-0.357565932,-0.117742057,0.040961085,-0.026794203,44,35,1.257142857,0.163636364,0.8,481.4350129,"BJZ",-0.38155,-160.0066,6,"Shallow","2010",30.08706738,"High",21.25,0.842260680259771,-0.800382705654855,0.718668508766485,"SOUTH",378.846025066,6.459317368,75.058782669,21.070887806,0,5.463659326,75.058782669,14.140228308,0,0,378.846025066,6.459317368,1.467000172,481.4350129
"49","1845952458",78,"JAR-00126","2488",0.733337843,0.906392118,1.293963121,0.582306,0.268293865,0.955337047,0.501674417,0.810054093,-0.347912808,-0.118811099,0.030522687,-0.043587418,37,32,1.15625,0.11402027,0.84375,370.957681,"PMA",-0.38155,-160.0066,6,"Shallow","2010",30.08706738,"High",21.25,0.842260680259771,-0.800382705654855,0.718668508766485,"SOUTH",277.368089661,3.161516319,75.816992862,14.611082133,0,3.494412693,75.816992862,10.68386993,0.064739704,0,277.368089661,3.161516319,0.368059806,370.957681
"50","1845952459",79,"JAR-00126","2488",0.712993499,0.897526717,1.325065082,0.465524,0.324616663,0.958003354,0.496023763,0.80584581,-0.357565932,-0.117742057,0.040961085,-0.026794203,44,35,1.257142857,0.163636364,0.8,481.4350129,"BJZ",-0.38155,-160.0066,6,"Shallow","2010",30.08706738,"High",21.25,0.842260680259771,-0.800382705654855,0.718668508766485,"SOUTH",378.846025066,6.459317368,75.058782669,21.070887806,0,5.463659326,75.058782669,14.140228308,0,0,378.846025066,6.459317368,1.467000172,481.4350129
